id,type,title,price,currency,current_payment_status,booth_url,github_release_url,source_original,review_result,creation_method,price_check,tax_code_candidate,tax_code_review_required,stripe_product_name,metadata_ready,memo
DAKE_App_Doko,app,アプリどこ,300,JPY,booth_only,https://peakheadz.booth.pm/items/8447573,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_App_Doko_v1.0.0,01_apps/DAKE_App_Doko/ORIGINAL.md,create,api_candidate,price_ok,txcd_10202003,no,アプリどこ,yes,"single DAKE app; API candidate with price, BOOTH URL, and source_original present; source memo: ready for Stripe Payment Link planning"
DAKE_Backup,app,Dakeバックアップ,500,JPY,booth_only,https://peakheadz.booth.pm/items/8447578,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Backup_v1.0.0,01_apps/DAKE_Backup/ORIGINAL.md,create,api_candidate,price_ok,txcd_10202003,no,Dakeバックアップ,yes,"single DAKE app; API candidate with price, BOOTH URL, and source_original present; source memo: ready for Stripe Payment Link planning"
DAKE_Git_Memo,app,DakeGitメモ,500,JPY,booth_only,https://peakheadz.booth.pm/items/8447593,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Git_Memo_v1.0.0,01_apps/DAKE_Git_Memo/ORIGINAL.md,create,api_candidate,price_ok,txcd_10202003,no,DakeGitメモ,yes,"single DAKE app; API candidate with price, BOOTH URL, and source_original present; source memo: ready for Stripe Payment Link planning"
DAKE_Image_PasteA4,app,貼る,500,JPY,booth_only,https://peakheadz.booth.pm/items/8397628,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Image_PasteA4_v1.0.0,01_apps/DAKE_Image_PasteA4/ORIGINAL.md,create,api_candidate,price_ok,txcd_10202003,no,貼る,yes,"single DAKE app; API candidate with price, BOOTH URL, and source_original present; source memo: ready for Stripe Payment Link planning"
DAKE_Mail_Address_Format,app,Dakeメールアドレス整形,300,JPY,booth_only,https://peakheadz.booth.pm/items/8447996,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Mail_Address_Format_v1.0.0,01_apps/DAKE_Mail_Address_Format/ORIGINAL.md,create,api_candidate,price_ok,txcd_10202003,no,Dakeメールアドレス整形,yes,"single DAKE app; API candidate with price, BOOTH URL, and source_original present; source memo: ready for Stripe Payment Link planning"
DAKE_Mail_Draft,app,Dakeメール下書き,300,JPY,booth_only,https://peakheadz.booth.pm/items/8448001,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Mail_Draft_v1.0.0,01_apps/DAKE_Mail_Draft/ORIGINAL.md,create,api_candidate,price_ok,txcd_10202003,no,Dakeメール下書き,yes,"single DAKE app; API candidate with price, BOOTH URL, and source_original present; source memo: ready for Stripe Payment Link planning"
DAKE_Maji_Memo,app,マジでメモ,300,JPY,booth_only,https://peakheadz.booth.pm/items/8448021,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Maji_Memo_v1.0.0,01_apps/DAKE_Maji_Memo/ORIGINAL.md,create,api_candidate,price_ok,txcd_10202003,no,マジでメモ,yes,"single DAKE app; API candidate with price, BOOTH URL, and source_original present; source memo: ready for Stripe Payment Link planning"
DAKE_Sticky_Memo,app,付箋メモ,300,JPY,booth_only,https://peakheadz.booth.pm/items/8448263,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Sticky_Memo_v1.0.0,01_apps/DAKE_Sticky_Memo/ORIGINAL.md,create,api_candidate,price_ok,txcd_10202003,no,付箋メモ,yes,"single DAKE app; API candidate with price, BOOTH URL, and source_original present; source memo: ready for Stripe Payment Link planning"
DAKE_Yesterday_Task_Memo,app,Dake昨日タスクメモ,300,JPY,booth_only,https://peakheadz.booth.pm/items/8448291,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Yesterday_Task_Memo_v1.0.0,01_apps/DAKE_Yesterday_Task_Memo/ORIGINAL.md,create,api_candidate,price_ok,txcd_10202003,no,Dake昨日タスクメモ,yes,"single DAKE app; API candidate with price, BOOTH URL, and source_original present; source memo: ready for Stripe Payment Link planning"
dake_booth_assist,app,BOOTHアシスト,300,JPY,booth_only,https://peakheadz.booth.pm/items/8447580,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_BOOTH_Assist_v1.0.0,01_apps/DAKE_BOOTH_Assist/ORIGINAL.md,create,api_candidate,price_ok,txcd_10202003,no,BOOTHアシスト,yes,"single DAKE app; API candidate with price, BOOTH URL, and source_original present; source memo: ready for Stripe Payment Link planning"
dake_column_memo,app,ずっとメモ,300,JPY,booth_only,https://peakheadz.booth.pm/items/8447582,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Column_Memo_v1.0.0,01_apps/DAKE_Column_Memo/ORIGINAL.md,create,api_candidate,price_ok,txcd_10202003,no,ずっとメモ,yes,"single DAKE app; API candidate with price, BOOTH URL, and source_original present; source memo: ready for Stripe Payment Link planning"
