folder_name,folder_path,has_readme,has_dake_web_meta,domain,production_url,expected_domain,expected_production_url,domain_source,category,status,source,url_status,phase_a_status,git_status,git_branch,git_ahead,git_behind,last_commit,last_modified,needs_human_check,reason,recommended_next_action
pdf_to_jpeg_app,C:\Users\yukiz\devlop\20240904 ローカルでまともに動く\pdf_to_jpeg_app,True,False,,,,,unknown,other,不明,unknown,missing,human_review,clean,main,0,0,730b8a2,2024-08-31 22:32:54,True,domain / production_url missing; URL source is unknown,Confirm URL/repo before adding DAKE_WEB_META
pdf_to_jpeg_app,C:\Users\yukiz\devlop\pdf_to_jpeg_app,True,False,,,,,unknown,other,不明,unknown,missing,human_review,clean,main,0,0,491c94a,2024-08-31 22:32:54,True,domain / production_url missing; URL source is unknown,Confirm URL/repo before adding DAKE_WEB_META
peakheadz-project-index,C:\Users\yukiz\devlop\peakheadz-project-index,True,False,,,,,unknown,PEAKHEADZ,不明,unknown,missing,human_review,clean,main,0,0,3368acb,2026-05-13 08:14:57,True,domain / production_url missing; URL source is unknown,Confirm URL/repo before adding DAKE_WEB_META
peakheadz-site,C:\Users\yukiz\devlop\peakheadz-site,True,True,peakheadz.com,https://peakheadz.com,peakheadz.com,https://peakheadz.com,meta,PEAKHEADZ,active,meta,ok,committed_not_pushed,clean,main,1,0,5a2de70,2026-06-02 06:50:00,False,Phase A target has DAKE_WEB_META; Phase A result recorded as added=True,Push the existing site repo commit if ready
SHIMARISU,C:\Users\yukiz\devlop\SHIMARISU,True,False,,,,,unknown,SHIMARISU,不明,unknown,missing,human_review,clean,main,0,0,376c8b4,2026-06-01 20:16:32,True,domain / production_url missing; URL source is unknown,Confirm URL/repo before adding DAKE_WEB_META
shimarisu-dakeapp-site,C:\Users\yukiz\devlop\shimarisu-dakeapp-site,True,True,shimarisu.dakeapp.com,https://shimarisu.dakeapp.com,shimarisu.dakeapp.com,https://shimarisu.dakeapp.com,meta,SHIMARISU,active,meta,ok,done,clean,main,0,0,4d33c7c,2026-06-02 06:50:00,False,Phase A target has DAKE_WEB_META; Phase A result recorded as added=True,No Phase A action needed
shimarisu-site,C:\Users\yukiz\devlop\shimarisu-site,True,True,shimarisu-fudosan.com,https://shimarisu-fudosan.com,shimarisu-fudosan.com,https://shimarisu-fudosan.com,meta,SHIMARISU,active,meta,ok,committed_not_pushed,clean,main,1,0,f0e27eb,2026-06-02 06:50:00,False,Phase A target has DAKE_WEB_META; Phase A result recorded as added=True,Push the existing site repo commit if ready
soredake-site,C:\Users\yukiz\devlop\soredake-site,True,True,soredake.com,https://soredake.com,soredake.com,https://soredake.com,meta,DAKE,active,meta,ok,committed_not_pushed,clean,main,1,0,1b5db53,2026-06-02 06:50:00,False,Phase A target has DAKE_WEB_META; Phase A result recorded as added=True,Push the existing site repo commit if ready
tsucho,C:\Users\yukiz\devlop\dake-tools-site\public\tsucho,True,False,,,,,unknown,DAKE,不明,unknown,missing,human_review,not_git_repo,,0,0,,2026-05-26 08:35:08,True,domain / production_url missing; URL source is unknown; not_git_repo,Confirm URL/repo before adding DAKE_WEB_META
wlzphz-site,C:\Users\yukiz\devlop\wlzphz-site,True,False,,,wlzphz.com,https://wlzphz.com,unknown,other,不明,unknown,missing,human_review,clean,main,0,0,9e42ebc,2026-05-13 21:43:51,True,domain / production_url missing; URL source is unknown,Confirm URL/repo before adding DAKE_WEB_META
yukihikokikuta-site,C:\Users\yukiz\devlop\yukihikokikuta-site,True,True,yukihikokikuta.com,https://yukihikokikuta.com,yukihikokikuta.com,https://yukihikokikuta.com,meta,other,active,meta,ok,committed_not_pushed,clean,main,1,0,bd003dd,2026-06-02 06:50:00,False,Phase A target has DAKE_WEB_META; Phase A result recorded as added=True,Push the existing site repo commit if ready
yukizblog-restore,C:\Users\yukiz\devlop\yukizblog-restore,True,False,,,,,unknown,blog,不明,unknown,missing,human_review,clean,main,0,0,05371cc,2026-05-13 21:00:23,True,domain / production_url missing; URL source is unknown,Confirm URL/repo before adding DAKE_WEB_META
yukizblog-site,C:\Users\yukiz\devlop\yukizblog-site,True,True,blog.yukihikokikuta.com,https://blog.yukihikokikuta.com,blog.yukihikokikuta.com,https://blog.yukihikokikuta.com,meta,blog,active,meta,ok,committed_not_pushed,clean,main,1,0,6aa7456,2026-06-02 06:50:00,False,Phase A target has DAKE_WEB_META; Phase A result recorded as added=True,Push the existing site repo commit if ready
（凍結）DAKE_PDF_Split,C:\Users\yukiz\devlop\（凍結）\（凍結）DAKE_PDF_Split,True,False,,,,,unknown,DAKE,不明,unknown,missing,human_review,not_git_repo,,0,0,,2026-04-23 13:16:00,True,domain / production_url missing; URL source is unknown; not_git_repo,Confirm URL/repo before adding DAKE_WEB_META
（凍結）DAKE_Web_EntryBuilder,C:\Users\yukiz\devlop\（凍結）\（凍結）DAKE_Web_EntryBuilder,True,False,,,,,unknown,DAKE,不明,unknown,missing,human_review,not_git_repo,,0,0,,2026-04-26 22:40:48,True,domain / production_url missing; URL source is unknown; not_git_repo,Confirm URL/repo before adding DAKE_WEB_META
（凍結）shimarisu-fudosan,C:\Users\yukiz\devlop\（凍結）\（凍結）shimarisu-fudosan,True,False,,,,,unknown,SHIMARISU,不明,unknown,missing,human_review,not_git_repo,,0,0,,2026-04-27 22:02:37,True,domain / production_url missing; URL source is unknown; not_git_repo,Confirm URL/repo before adding DAKE_WEB_META
