id,title,product_id,price_id,payment_link_id,payment_link_url,livemode,status,created_at,metadata
dake_column_memo,ずっとメモ,prod_Uhd5XazRswiE61,price_1TiDpTHrsJubFuDO1ssjz0NH,plink_1TiDpTHrsJubFuDOxcHNddE5,https://buy.stripe.com/7sY6oHbw5gMLc4M4rv0gw0f,true,completed,2026-06-14T22:12:33+09:00,"{""booth_url"": ""https://peakheadz.booth.pm/items/8447582"", ""dake_item_id"": ""dake_column_memo"", ""dake_type"": ""app"", ""github_release_url"": ""https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Column_Memo_v1.0.0"", ""source_original"": ""01_apps/DAKE_Column_Memo/ORIGINAL.md"", ""source_repo"": ""DAKE_series"", ""store_url"": ""https://store.dakeapp.com/product/?id=dake_column_memo""}"
dake_document_cover,Dake書類送付状,prod_Uhd5xh7k10MMa3,price_1TiDpUHrsJubFuDOeYE5U7EL,plink_1TiDpUHrsJubFuDOOySY7waG,https://buy.stripe.com/fZubJ12Zzbsrd8Q3nr0gw0g,true,completed,2026-06-14T22:12:33+09:00,"{""booth_url"": ""https://peakheadz.booth.pm/items/8447586"", ""dake_item_id"": ""dake_document_cover"", ""dake_type"": ""app"", ""github_release_url"": ""https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Document_Cover-v1.0.0"", ""source_original"": ""01_apps/DAKE_Document_Cover/ORIGINAL.md"", ""source_repo"": ""DAKE_series"", ""store_url"": ""https://store.dakeapp.com/product/?id=dake_document_cover""}"
dake_fax_cover,DakeFAX送付状,prod_Uhd5fZ4isg8Qot,price_1TiDpVHrsJubFuDOKno1akNA,plink_1TiDpVHrsJubFuDOEHX9PFop,https://buy.stripe.com/4gM00j9nX1RRb0I5vz0gw0h,true,completed,2026-06-14T22:12:33+09:00,"{""booth_url"": ""https://peakheadz.booth.pm/items/8447589"", ""dake_item_id"": ""dake_fax_cover"", ""dake_type"": ""app"", ""github_release_url"": ""https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_FAX_Cover_v1.0.0"", ""source_original"": ""01_apps/DAKE_FAX_Cover/ORIGINAL.md"", ""source_repo"": ""DAKE_series"", ""store_url"": ""https://store.dakeapp.com/product/?id=dake_fax_cover""}"
dake_folder_list,Dakeフォルダ一覧,prod_Uhd5NZ6VQrH9lA,price_1TiDpWHrsJubFuDOigOYnUuM,plink_1TiDpWHrsJubFuDOlY1Oao5r,https://buy.stripe.com/14A5kDcA9cwv4Ck2jn0gw0i,true,completed,2026-06-14T22:12:33+09:00,"{""booth_url"": ""https://peakheadz.booth.pm/items/8447591"", ""dake_item_id"": ""dake_folder_list"", ""dake_type"": ""app"", ""github_release_url"": ""https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Folder_List_v1.0.0"", ""source_original"": ""01_apps/DAKE_Folder_List/ORIGINAL.md"", ""source_repo"": ""DAKE_series"", ""store_url"": ""https://store.dakeapp.com/product/?id=dake_folder_list""}"
dake_image_heictojpg,HEIC→JPG変換,prod_Uhd5j2WIGeHIBo,price_1TiDpXHrsJubFuDOTWwjZkNa,plink_1TiDpXHrsJubFuDOsBXcwk74,https://buy.stripe.com/4gMfZhas1gML4CkaPT0gw0j,true,completed,2026-06-14T22:12:33+09:00,"{""booth_url"": ""https://peakheadz.booth.pm/items/8447596"", ""dake_item_id"": ""dake_image_heictojpg"", ""dake_type"": ""app"", ""github_release_url"": ""https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Image_HEICtoJPG_v1.0.0"", ""source_original"": ""01_apps/DAKE_Image_HEICtoJPG/ORIGINAL.md"", ""source_repo"": ""DAKE_series"", ""store_url"": ""https://store.dakeapp.com/product/?id=dake_image_heictojpg""}"
dake_image_iphonetopc,Dake画像iPhoneToPC,prod_Uhd5XbrTmdAyyk,price_1TiDpYHrsJubFuDO6LQebJXT,plink_1TiDpYHrsJubFuDObRZa2oiP,https://buy.stripe.com/cNicN5fMlgML9WE1fj0gw0k,true,completed,2026-06-14T22:12:33+09:00,"{""booth_url"": ""https://peakheadz.booth.pm/items/8447598"", ""dake_item_id"": ""dake_image_iphonetopc"", ""dake_type"": ""app"", ""github_release_url"": ""https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Image_iPhoneToPC_v1.0.0"", ""source_original"": ""01_apps/DAKE_Image_iPhoneToPC/ORIGINAL.md"", ""source_repo"": ""DAKE_series"", ""store_url"": ""https://store.dakeapp.com/product/?id=dake_image_iphonetopc""}"
dake_image_receiver,DakeImage_Receiver,prod_Uhd5jt1Rc8q910,price_1TiDpZHrsJubFuDO3wPvfIpv,plink_1TiDpZHrsJubFuDOfQH5Wkrl,https://buy.stripe.com/28E4gz6bLdAz3yg1fj0gw0l,true,completed,2026-06-14T22:12:33+09:00,"{""booth_url"": ""https://peakheadz.booth.pm/items/8447600"", ""dake_item_id"": ""dake_image_receiver"", ""dake_type"": ""app"", ""github_release_url"": ""https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Image_Receiver_v1.0.0"", ""source_original"": ""01_apps/DAKE_Image_Receiver/ORIGINAL.md"", ""source_repo"": ""DAKE_series"", ""store_url"": ""https://store.dakeapp.com/product/?id=dake_image_receiver""}"
dake_image_topdf,DakeImageToPDF,prod_Uhd5JF1tyTHC4S,price_1TiDpaHrsJubFuDOonZEswDb,plink_1TiDpbHrsJubFuDOYNamSkrO,https://buy.stripe.com/8x25kDas13ZZd8Q7DH0gw0m,true,completed,2026-06-14T22:12:33+09:00,"{""booth_url"": ""https://peakheadz.booth.pm/items/8397610"", ""dake_item_id"": ""dake_image_topdf"", ""dake_type"": ""app"", ""github_release_url"": ""https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Image_ToPDF_v1.0.0"", ""source_original"": ""01_apps/DAKE_Image_ToPDF/ORIGINAL.md"", ""source_repo"": ""DAKE_series"", ""store_url"": ""https://store.dakeapp.com/product/?id=dake_image_topdf""}"
dake_launcher,Dakeランチャー,prod_Uhd5DwVCf9N4Lj,price_1TiDpbHrsJubFuDO43cEedbX,plink_1TiDpcHrsJubFuDOr0bZ3hPe,https://buy.stripe.com/8x228r8jTgML5GoaPT0gw0n,true,completed,2026-06-14T22:12:33+09:00,"{""booth_url"": ""https://peakheadz.booth.pm/items/8447994"", ""dake_item_id"": ""dake_launcher"", ""dake_type"": ""app"", ""github_release_url"": ""https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Launcher_v1.0.0"", ""source_original"": ""01_apps/DAKE_Launcher/ORIGINAL.md"", ""source_repo"": ""DAKE_series"", ""store_url"": ""https://store.dakeapp.com/product/?id=dake_launcher""}"
dake_mail_allstaff,Dake全社員メール起動,prod_Uhd5rwbEwlRkMb,price_1TiDpcHrsJubFuDOo0kA3lE2,plink_1TiDpdHrsJubFuDOjiKHQTr8,https://buy.stripe.com/5kQ9ATgQp0NN5Go6zD0gw0o,true,completed,2026-06-14T22:12:33+09:00,"{""booth_url"": ""https://peakheadz.booth.pm/items/8447998"", ""dake_item_id"": ""dake_mail_allstaff"", ""dake_type"": ""app"", ""github_release_url"": ""https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Mail_AllStaff_v1.0.0"", ""source_original"": ""01_apps/DAKE_Mail_AllStaff/ORIGINAL.md"", ""source_repo"": ""DAKE_series"", ""store_url"": ""https://store.dakeapp.com/product/?id=dake_mail_allstaff""}"
