app,display_name,status,ok,release_json,release_stage,release_reason,video_local_path,video_exists,demo_mp4,demo_webm,screenshot,booth_thumbnail,social_release_path,source_kind,source_path,original_missing,meta_derivative_mismatch,actions
DAKE_App_Dashboard,DAKE Dashboard,internal,False,False,,,,False,False,False,False,False,,readme_fallback,01_apps/DAKE_App_Dashboard/README.md,True,,original_missing; skipped status=internal
DAKE_App_Doko,アプリどこ,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_App_Doko/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
DAKE_Approve_Brainz,承認Brainz,frozen,False,False,,,,False,False,False,False,False,,readme_fallback,01_apps/DAKE_Approve_Brainz/README.md,True,,original_missing; skipped status=frozen
DAKE_Backup,Dakeバックアップ,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_Backup/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
DAKE_BGM_Loop,Dake BGM Loop,frozen,False,False,,,,False,False,False,False,False,,readme_fallback,01_apps/DAKE_BGM_Loop/README.md,True,,original_missing; skipped status=frozen
DAKE_BOOTH_Assist,BOOTHアシスト,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_BOOTH_Assist/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
DAKE_Brainz_OIKAWA,OIKAWA,frozen,False,False,,,,False,False,False,False,False,,readme_fallback,01_apps/DAKE_Brainz_OIKAWA/README.md,True,,original_missing; skipped status=frozen
DAKE_Brainz_Search,補助脳BRAINZ,frozen,False,False,,,,False,False,False,False,False,,readme_fallback,01_apps/DAKE_Brainz_Search/README.md,True,,original_missing; skipped status=frozen
DAKE_Column_Memo,ずっとメモ,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_Column_Memo/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
DAKE_Document_Cover,Dake書類送付状,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_Document_Cover/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
DAKE_FAX_Cover,DakeFAX送付状,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_FAX_Cover/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
DAKE_Folder_List,Dakeフォルダ一覧,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_Folder_List/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
DAKE_Game_Alien_Road,DakeAlien Road,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_Game_Alien_Road/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
DAKE_Game_Diver_Catch,Dake潜って捕る,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_Game_Diver_Catch/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
DAKE_Game_ShimarisuRealEstate,Dakeしまりす不動産,prototype,False,False,,,,False,False,False,False,False,,readme_fallback,01_apps/DAKE_Game_ShimarisuRealEstate/README.md,True,,original_missing; skipped status=prototype
DAKE_Git_Memo,DakeGitメモ,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_Git_Memo/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
DAKE_HolidayJinja_Post,holiday-jinja 投稿DAKE,internal,False,False,,,,False,False,False,False,False,,readme_fallback,01_apps/DAKE_HolidayJinja_Post/README.md,True,,original_missing; skipped status=internal
DAKE_Image_HEICtoJPG,HEIC→JPG変換,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_Image_HEICtoJPG/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
DAKE_Image_iPhoneToPC,Dake画像iPhoneToPC,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_Image_iPhoneToPC/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
DAKE_Image_PasteA4,貼る,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_Image_PasteA4/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
DAKE_Image_Receiver,DakeImage_Receiver,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_Image_Receiver/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
DAKE_Image_Resize,Dake画像リサイズ,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_Image_Resize/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
DAKE_Image_ToPDF,DakeImageToPDF,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_Image_ToPDF/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
DAKE_Launcher,Dakeランチャー,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_Launcher/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
DAKE_Mail_Address_Format,Dakeメールアドレス整形,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_Mail_Address_Format/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
DAKE_Mail_AllStaff,Dake全社員メール起動,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_Mail_AllStaff/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
DAKE_Mail_Draft,Dakeメール下書き,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_Mail_Draft/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
DAKE_Mail_Kikuta,Dake菊田メール,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_Mail_Kikuta/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
DAKE_Mail_List,Dakeメールリスト,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_Mail_List/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
DAKE_Maji_Memo,マジでメモ,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_Maji_Memo/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
DAKE_Mansion_Schedule,マンション工程表,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_Mansion_Schedule/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
DAKE_Music_Otooku,音を置く,frozen,False,False,,,,False,False,False,False,False,,readme_fallback,01_apps/DAKE_Music_Otooku/README.md,True,,original_missing; skipped status=frozen
DAKE_Note_Inbox,DAKE_Note_Inbox,unknown,False,False,,,,False,False,False,False,False,,missing,,True,,original_missing; skipped status=unknown
DAKE_PDF_CheckStamp,Dake確認印,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_PDF_CheckStamp/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
DAKE_PDF_Compress,DakePDF圧縮,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_PDF_Compress/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
DAKE_PDF_Crop,DakePDFトリミング,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_PDF_Crop/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
DAKE_PDF_LookHere,DakePDFここ見て,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_PDF_LookHere/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
DAKE_PDF_Marker,DakePDFマーカー,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_PDF_Marker/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
DAKE_PDF_Merge,DakePDF結合,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_PDF_Merge/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
DAKE_PDF_Merge_Mini,DakePDF結合mini,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_PDF_Merge_Mini/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
DAKE_PDF_Rename,DakePDFファイル名整理,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_PDF_Rename/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
DAKE_PDF_Reorder,DakePDFページ並べ替え,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_PDF_Reorder/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
DAKE_PDF_SplitOne,DakePDF分割One,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_PDF_SplitOne/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
DAKE_PDF_SplitSelect,DakePDF分割Select,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_PDF_SplitSelect/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
DAKE_PDF_ToImages,DakePDFto画像,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_PDF_ToImages/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
DAKE_PDF_Viewer,DakePDF見る,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_PDF_Viewer/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
DAKE_Price_Apportionment,Dake価格按分,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_Price_Apportionment/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
DAKE_Price_FixedTax,Dake固都税計算,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_Price_FixedTax/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
DAKE_QPSC_Dashboard,QPCS Dashboard,internal,False,False,,,,False,False,False,False,False,,readme_fallback,01_apps/DAKE_QPSC_Dashboard/README.md,True,,original_missing; skipped status=internal
DAKE_Reform_Progress,リフォーム進捗管理,available,False,False,,,,False,False,False,True,True,,original,01_apps/DAKE_Reform_Progress/ORIGINAL.md,False,,create release_artifacts/release.json with tools/release_capture.py; record video_local_path in release.json; save demo.mp4 or demo.webm
