app,display_name,status,ok,social_draft_ready,social_buffer_ready,social_posts,social_posts_valid,forbidden_links,social_release,social_stage,social_reason,buffer_x_id,buffer_threads_id,buffer_instagram_id,requested_channels,source_kind,source_path,original_missing,meta_derivative_mismatch,actions
DAKE_PDF_Crop,DakePDFトリミング,available,False,False,False,False,False,False,False,,,,,,"x,threads,instagram",original,01_apps/DAKE_PDF_Crop/ORIGINAL.md,False,,generate social_posts.md with tools/release_social.py; generate dry-run social_release.json with tools/release_social.py; x Buffer ID missing; threads Buffer ID missing; instagram Buffer ID missing
DAKE_PDF_LookHere,DakePDFここ見て,available,False,False,False,False,False,False,False,,,,,,"x,threads,instagram",original,01_apps/DAKE_PDF_LookHere/ORIGINAL.md,False,,generate social_posts.md with tools/release_social.py; generate dry-run social_release.json with tools/release_social.py; x Buffer ID missing; threads Buffer ID missing; instagram Buffer ID missing
DAKE_PDF_Marker,DakePDFマーカー,available,False,False,False,False,False,False,False,,,,,,"x,threads,instagram",original,01_apps/DAKE_PDF_Marker/ORIGINAL.md,False,,generate social_posts.md with tools/release_social.py; generate dry-run social_release.json with tools/release_social.py; x Buffer ID missing; threads Buffer ID missing; instagram Buffer ID missing
DAKE_PDF_Merge,DakePDF結合,available,False,False,False,False,False,False,False,,,,,,"x,threads,instagram",original,01_apps/DAKE_PDF_Merge/ORIGINAL.md,False,,generate social_posts.md with tools/release_social.py; generate dry-run social_release.json with tools/release_social.py; x Buffer ID missing; threads Buffer ID missing; instagram Buffer ID missing
DAKE_PDF_Merge_Mini,DakePDF結合mini,available,False,False,False,False,False,False,False,,,,,,"x,threads,instagram",original,01_apps/DAKE_PDF_Merge_Mini/ORIGINAL.md,False,,generate social_posts.md with tools/release_social.py; generate dry-run social_release.json with tools/release_social.py; x Buffer ID missing; threads Buffer ID missing; instagram Buffer ID missing
DAKE_PDF_Rename,DakePDFファイル名整理,available,False,False,False,False,False,False,False,,,,,,"x,threads,instagram",original,01_apps/DAKE_PDF_Rename/ORIGINAL.md,False,,generate social_posts.md with tools/release_social.py; generate dry-run social_release.json with tools/release_social.py; x Buffer ID missing; threads Buffer ID missing; instagram Buffer ID missing
DAKE_PDF_Reorder,DakePDFページ並べ替え,available,False,False,False,False,False,False,False,,,,,,"x,threads,instagram",original,01_apps/DAKE_PDF_Reorder/ORIGINAL.md,False,,generate social_posts.md with tools/release_social.py; generate dry-run social_release.json with tools/release_social.py; x Buffer ID missing; threads Buffer ID missing; instagram Buffer ID missing
DAKE_PDF_SplitOne,DakePDF分割One,available,False,False,False,False,False,False,False,,,,,,"x,threads,instagram",original,01_apps/DAKE_PDF_SplitOne/ORIGINAL.md,False,,generate social_posts.md with tools/release_social.py; generate dry-run social_release.json with tools/release_social.py; x Buffer ID missing; threads Buffer ID missing; instagram Buffer ID missing
DAKE_PDF_SplitSelect,DakePDF分割Select,available,False,False,False,False,False,False,False,,,,,,"x,threads,instagram",original,01_apps/DAKE_PDF_SplitSelect/ORIGINAL.md,False,,generate social_posts.md with tools/release_social.py; generate dry-run social_release.json with tools/release_social.py; x Buffer ID missing; threads Buffer ID missing; instagram Buffer ID missing
DAKE_PDF_ToImages,DakePDFto画像,available,False,False,False,False,False,False,False,,,,,,"x,threads,instagram",original,01_apps/DAKE_PDF_ToImages/ORIGINAL.md,False,,generate social_posts.md with tools/release_social.py; generate dry-run social_release.json with tools/release_social.py; x Buffer ID missing; threads Buffer ID missing; instagram Buffer ID missing
